a,b,s,d,flag,day,t
51,51000,tag1,76.5,false,1970-02-21,2013-07-15 10:00:51
52,52000,tag2,78.0,true,1970-02-22,2013-07-15 10:00:52
53,53000,tag3,79.5,false,1970-02-23,2013-07-15 10:00:53
54,54000,tag4,81.0,true,1970-02-24,2013-07-15 10:00:54
55,55000,tag0,82.5,false,1970-02-25,2013-07-15 10:00:55
56,56000,,84.0,true,1970-02-26,2013-07-15 10:00:56
57,57000,tag2,85.5,false,1970-02-27,2013-07-15 10:00:57
58,58000,tag3,87.0,true,1970-02-28,2013-07-15 10:00:58
59,59000,tag4,88.5,false,1970-03-01,2013-07-15 10:00:59
60,60000,tag0,90.0,true,1970-03-02,2013-07-15 10:01:00
61,61000,tag1,91.5,false,1970-03-03,2013-07-15 10:01:01
62,62000,tag2,93.0,true,1970-03-04,2013-07-15 10:01:02
63,63000,,94.5,false,1970-03-05,2013-07-15 10:01:03
64,64000,tag4,0.0,true,1970-03-06,2013-07-15 10:01:04
65,65000,tag0,1.5,false,1970-03-07,2013-07-15 10:01:05
66,66000,tag1,3.0,true,1970-03-08,2013-07-15 10:01:06
67,67000,tag2,4.5,false,1970-03-09,2013-07-15 10:01:07
68,68000,tag3,6.0,true,1970-03-10,2013-07-15 10:01:08
69,69000,tag4,7.5,false,1970-03-11,2013-07-15 10:01:09
70,70000,,9.0,true,1970-03-12,2013-07-15 10:01:10
71,71000,tag1,10.5,false,1970-03-13,2013-07-15 10:01:11
72,72000,tag2,12.0,true,1970-03-14,2013-07-15 10:01:12
73,73000,tag3,13.5,false,1970-03-15,2013-07-15 10:01:13
74,74000,tag4,15.0,true,1970-03-16,2013-07-15 10:01:14
75,75000,tag0,16.5,false,1970-03-17,2013-07-15 10:01:15
76,76000,tag1,18.0,true,1970-03-18,2013-07-15 10:01:16
77,77000,,19.5,false,1970-03-19,2013-07-15 10:01:17
78,78000,tag3,21.0,true,1970-03-20,2013-07-15 10:01:18
79,79000,tag4,22.5,false,1970-03-21,2013-07-15 10:01:19
80,80000,tag0,24.0,true,1970-03-22,2013-07-15 10:01:20
81,81000,tag1,25.5,false,1970-03-23,2013-07-15 10:01:21
82,82000,tag2,27.0,true,1970-03-24,2013-07-15 10:01:22
83,83000,tag3,28.5,false,1970-03-25,2013-07-15 10:01:23
84,84000,,30.0,true,1970-03-26,2013-07-15 10:01:24
85,85000,tag0,31.5,false,1970-03-27,2013-07-15 10:01:25
86,86000,tag1,33.0,true,1970-03-28,2013-07-15 10:01:26
87,87000,tag2,34.5,false,1970-03-29,2013-07-15 10:01:27
88,88000,tag3,36.0,true,1970-03-30,2013-07-15 10:01:28
89,89000,tag4,37.5,false,1970-03-31,2013-07-15 10:01:29
90,90000,tag0,39.0,true,1970-04-01,2013-07-15 10:01:30
91,91000,,40.5,false,1970-04-02,2013-07-15 10:01:31
92,92000,tag2,42.0,true,1970-04-03,2013-07-15 10:01:32
93,93000,tag3,43.5,false,1970-04-04,2013-07-15 10:01:33
94,94000,tag4,45.0,true,1970-04-05,2013-07-15 10:01:34
95,95000,tag0,46.5,false,1970-04-06,2013-07-15 10:01:35
96,96000,tag1,48.0,true,1970-04-07,2013-07-15 10:01:36
0,97000,tag2,49.5,false,1970-04-08,2013-07-15 10:01:37
1,98000,,51.0,true,1970-04-09,2013-07-15 10:01:38
2,99000,tag4,52.5,false,1970-04-10,2013-07-15 10:01:39
3,100000,tag0,54.0,true,1970-04-11,2013-07-15 10:01:40
4,101000,tag1,55.5,false,1970-04-12,2013-07-15 10:01:41
5,102000,tag2,57.0,true,1970-04-13,2013-07-15 10:01:42
6,103000,tag3,58.5,false,1970-04-14,2013-07-15 10:01:43
7,104000,tag4,60.0,true,1970-04-15,2013-07-15 10:01:44
8,105000,,61.5,false,1970-04-16,2013-07-15 10:01:45
9,106000,tag1,63.0,true,1970-04-17,2013-07-15 10:01:46
10,107000,tag2,64.5,false,1970-04-18,2013-07-15 10:01:47
11,108000,tag3,66.0,true,1970-04-19,2013-07-15 10:01:48
12,109000,tag4,67.5,false,1970-04-20,2013-07-15 10:01:49
13,110000,tag0,69.0,true,1970-04-21,2013-07-15 10:01:50
14,111000,tag1,70.5,false,1970-04-22,2013-07-15 10:01:51
15,112000,,72.0,true,1970-04-23,2013-07-15 10:01:52
16,113000,tag3,73.5,false,1970-04-24,2013-07-15 10:01:53
17,114000,tag4,75.0,true,1970-04-25,2013-07-15 10:01:54
18,115000,tag0,76.5,false,1970-04-26,2013-07-15 10:01:55
19,116000,tag1,78.0,true,1970-04-27,2013-07-15 10:01:56
20,117000,tag2,79.5,false,1970-04-28,2013-07-15 10:01:57
21,118000,tag3,81.0,true,1970-04-29,2013-07-15 10:01:58
22,119000,,82.5,false,1970-04-30,2013-07-15 10:01:59
23,120000,tag0,84.0,true,1970-05-01,2013-07-15 10:02:00
24,121000,tag1,85.5,false,1970-05-02,2013-07-15 10:02:01
25,122000,tag2,87.0,true,1970-05-03,2013-07-15 10:02:02
26,123000,tag3,88.5,false,1970-05-04,2013-07-15 10:02:03
27,124000,tag4,90.0,true,1970-05-05,2013-07-15 10:02:04
28,125000,tag0,91.5,false,1970-05-06,2013-07-15 10:02:05
29,126000,,93.0,true,1970-05-07,2013-07-15 10:02:06
30,127000,tag2,94.5,false,1970-05-08,2013-07-15 10:02:07
31,128000,tag3,0.0,true,1970-05-09,2013-07-15 10:02:08
32,129000,tag4,1.5,false,1970-05-10,2013-07-15 10:02:09
33,130000,tag0,3.0,true,1970-05-11,2013-07-15 10:02:10
34,131000,tag1,4.5,false,1970-05-12,2013-07-15 10:02:11
35,132000,tag2,6.0,true,1970-05-13,2013-07-15 10:02:12
36,133000,,7.5,false,1970-05-14,2013-07-15 10:02:13
37,134000,tag4,9.0,true,1970-05-15,2013-07-15 10:02:14
38,135000,tag0,10.5,false,1970-05-16,2013-07-15 10:02:15
39,136000,tag1,12.0,true,1970-05-17,2013-07-15 10:02:16
40,137000,tag2,13.5,false,1970-05-18,2013-07-15 10:02:17
41,138000,tag3,15.0,true,1970-05-19,2013-07-15 10:02:18
42,139000,tag4,16.5,false,1970-05-20,2013-07-15 10:02:19
43,140000,,18.0,true,1970-05-21,2013-07-15 10:02:20
44,141000,tag1,19.5,false,1970-05-22,2013-07-15 10:02:21
45,142000,tag2,21.0,true,1970-05-23,2013-07-15 10:02:22
46,143000,tag3,22.5,false,1970-05-24,2013-07-15 10:02:23
47,144000,tag4,24.0,true,1970-05-25,2013-07-15 10:02:24
48,145000,tag0,25.5,false,1970-05-26,2013-07-15 10:02:25
49,146000,tag1,27.0,true,1970-05-27,2013-07-15 10:02:26
50,147000,,28.5,false,1970-05-28,2013-07-15 10:02:27
51,148000,tag3,30.0,true,1970-05-29,2013-07-15 10:02:28
52,149000,tag4,31.5,false,1970-05-30,2013-07-15 10:02:29
53,150000,tag0,33.0,true,1970-05-31,2013-07-15 10:02:30
54,151000,tag1,34.5,false,1970-06-01,2013-07-15 10:02:31
55,152000,tag2,36.0,true,1970-06-02,2013-07-15 10:02:32
56,153000,tag3,37.5,false,1970-06-03,2013-07-15 10:02:33
57,154000,,39.0,true,1970-06-04,2013-07-15 10:02:34
58,155000,tag0,40.5,false,1970-06-05,2013-07-15 10:02:35
59,156000,tag1,42.0,true,1970-06-06,2013-07-15 10:02:36
60,157000,tag2,43.5,false,1970-06-07,2013-07-15 10:02:37
61,158000,tag3,45.0,true,1970-06-08,2013-07-15 10:02:38
62,159000,tag4,46.5,false,1970-06-09,2013-07-15 10:02:39
63,160000,tag0,48.0,true,1970-06-10,2013-07-15 10:02:40
64,161000,,49.5,false,1970-06-11,2013-07-15 10:02:41
65,162000,tag2,51.0,true,1970-06-12,2013-07-15 10:02:42
66,163000,tag3,52.5,false,1970-06-13,2013-07-15 10:02:43
67,164000,tag4,54.0,true,1970-06-14,2013-07-15 10:02:44
68,165000,tag0,55.5,false,1970-06-15,2013-07-15 10:02:45
69,166000,tag1,57.0,true,1970-06-16,2013-07-15 10:02:46
70,167000,tag2,58.5,false,1970-06-17,2013-07-15 10:02:47
71,168000,,60.0,true,1970-06-18,2013-07-15 10:02:48
72,169000,tag4,61.5,false,1970-06-19,2013-07-15 10:02:49
73,170000,tag0,63.0,true,1970-06-20,2013-07-15 10:02:50
74,171000,tag1,64.5,false,1970-06-21,2013-07-15 10:02:51
75,172000,tag2,66.0,true,1970-06-22,2013-07-15 10:02:52
76,173000,tag3,67.5,false,1970-06-23,2013-07-15 10:02:53
77,174000,tag4,69.0,true,1970-06-24,2013-07-15 10:02:54
78,175000,,70.5,false,1970-06-25,2013-07-15 10:02:55
79,176000,tag1,72.0,true,1970-06-26,2013-07-15 10:02:56
80,177000,tag2,73.5,false,1970-06-27,2013-07-15 10:02:57
81,178000,tag3,75.0,true,1970-06-28,2013-07-15 10:02:58
82,179000,tag4,76.5,false,1970-06-29,2013-07-15 10:02:59
83,180000,tag0,78.0,true,1970-06-30,2013-07-15 10:03:00
84,181000,tag1,79.5,false,1970-07-01,2013-07-15 10:03:01
85,182000,,81.0,true,1970-07-02,2013-07-15 10:03:02
86,183000,tag3,82.5,false,1970-07-03,2013-07-15 10:03:03
87,184000,tag4,84.0,true,1970-07-04,2013-07-15 10:03:04
88,185000,tag0,85.5,false,1970-07-05,2013-07-15 10:03:05
89,186000,tag1,87.0,true,1970-07-06,2013-07-15 10:03:06
90,187000,tag2,88.5,false,1970-07-07,2013-07-15 10:03:07
91,188000,tag3,90.0,true,1970-07-08,2013-07-15 10:03:08
92,189000,,91.5,false,1970-07-09,2013-07-15 10:03:09
93,190000,tag0,93.0,true,1970-07-10,2013-07-15 10:03:10
94,191000,tag1,94.5,false,1970-07-11,2013-07-15 10:03:11
95,192000,tag2,0.0,true,1970-07-12,2013-07-15 10:03:12
96,193000,tag3,1.5,false,1970-07-13,2013-07-15 10:03:13
0,194000,tag4,3.0,true,1970-07-14,2013-07-15 10:03:14
1,195000,tag0,4.5,false,1970-07-15,2013-07-15 10:03:15
2,196000,,6.0,true,1970-07-16,2013-07-15 10:03:16
3,197000,tag2,7.5,false,1970-07-17,2013-07-15 10:03:17
4,198000,tag3,9.0,true,1970-07-18,2013-07-15 10:03:18
5,199000,tag4,10.5,false,1970-07-19,2013-07-15 10:03:19
6,200000,tag0,12.0,true,1970-07-20,2013-07-15 10:03:20
7,201000,tag1,13.5,false,1970-07-21,2013-07-15 10:03:21
8,202000,tag2,15.0,true,1970-07-22,2013-07-15 10:03:22
9,203000,,16.5,false,1970-07-23,2013-07-15 10:03:23
10,204000,tag4,18.0,true,1970-07-24,2013-07-15 10:03:24
11,205000,tag0,19.5,false,1970-07-25,2013-07-15 10:03:25
12,206000,tag1,21.0,true,1970-07-26,2013-07-15 10:03:26
13,207000,tag2,22.5,false,1970-07-27,2013-07-15 10:03:27
14,208000,tag3,24.0,true,1970-07-28,2013-07-15 10:03:28
15,209000,tag4,25.5,false,1970-07-29,2013-07-15 10:03:29
16,210000,,27.0,true,1970-07-30,2013-07-15 10:03:30
17,211000,tag1,28.5,false,1970-07-31,2013-07-15 10:03:31
18,212000,tag2,30.0,true,1970-08-01,2013-07-15 10:03:32
19,213000,tag3,31.5,false,1970-08-02,2013-07-15 10:03:33
20,214000,tag4,33.0,true,1970-08-03,2013-07-15 10:03:34
21,215000,tag0,34.5,false,1970-08-04,2013-07-15 10:03:35
22,216000,tag1,36.0,true,1970-08-05,2013-07-15 10:03:36
23,217000,,37.5,false,1970-08-06,2013-07-15 10:03:37
24,218000,tag3,39.0,true,1970-08-07,2013-07-15 10:03:38
25,219000,tag4,40.5,false,1970-08-08,2013-07-15 10:03:39
26,220000,tag0,42.0,true,1970-08-09,2013-07-15 10:03:40
27,221000,tag1,43.5,false,1970-08-10,2013-07-15 10:03:41
28,222000,tag2,45.0,true,1970-08-11,2013-07-15 10:03:42
29,223000,tag3,46.5,false,1970-08-12,2013-07-15 10:03:43
30,224000,,48.0,true,1970-08-13,2013-07-15 10:03:44
31,225000,tag0,49.5,false,1970-08-14,2013-07-15 10:03:45
32,226000,tag1,51.0,true,1970-08-15,2013-07-15 10:03:46
33,227000,tag2,52.5,false,1970-08-16,2013-07-15 10:03:47
34,228000,tag3,54.0,true,1970-08-17,2013-07-15 10:03:48
35,229000,tag4,55.5,false,1970-08-18,2013-07-15 10:03:49
36,230000,tag0,57.0,true,1970-08-19,2013-07-15 10:03:50
37,231000,,58.5,false,1970-08-20,2013-07-15 10:03:51
38,232000,tag2,60.0,true,1970-08-21,2013-07-15 10:03:52
39,233000,tag3,61.5,false,1970-08-22,2013-07-15 10:03:53
40,234000,tag4,63.0,true,1970-08-23,2013-07-15 10:03:54
41,235000,tag0,64.5,false,1970-08-24,2013-07-15 10:03:55
42,236000,tag1,66.0,true,1970-08-25,2013-07-15 10:03:56
43,237000,tag2,67.5,false,1970-08-26,2013-07-15 10:03:57
44,238000,,69.0,true,1970-08-27,2013-07-15 10:03:58
45,239000,tag4,70.5,false,1970-08-28,2013-07-15 10:03:59
46,240000,tag0,72.0,true,1970-08-29,2013-07-15 10:04:00
47,241000,tag1,73.5,false,1970-08-30,2013-07-15 10:04:01
48,242000,tag2,75.0,true,1970-08-31,2013-07-15 10:04:02
49,243000,tag3,76.5,false,1970-09-01,2013-07-15 10:04:03
50,244000,tag4,78.0,true,1970-09-02,2013-07-15 10:04:04
51,245000,,79.5,false,1970-09-03,2013-07-15 10:04:05
52,246000,tag1,81.0,true,1970-09-04,2013-07-15 10:04:06
53,247000,tag2,82.5,false,1970-09-05,2013-07-15 10:04:07
54,248000,tag3,84.0,true,1970-09-06,2013-07-15 10:04:08
55,249000,tag4,85.5,false,1970-09-07,2013-07-15 10:04:09
56,250000,tag0,87.0,true,1970-09-08,2013-07-15 10:04:10
57,251000,tag1,88.5,false,1970-09-09,2013-07-15 10:04:11
58,252000,,90.0,true,1970-09-10,2013-07-15 10:04:12
59,253000,tag3,91.5,false,1970-09-11,2013-07-15 10:04:13
60,254000,tag4,93.0,true,1970-09-12,2013-07-15 10:04:14
61,255000,tag0,94.5,false,1970-09-13,2013-07-15 10:04:15
62,256000,tag1,0.0,true,1970-09-14,2013-07-15 10:04:16
63,257000,tag2,1.5,false,1970-09-15,2013-07-15 10:04:17
64,258000,tag3,3.0,true,1970-09-16,2013-07-15 10:04:18
65,259000,,4.5,false,1970-09-17,2013-07-15 10:04:19
66,260000,tag0,6.0,true,1970-09-18,2013-07-15 10:04:20
67,261000,tag1,7.5,false,1970-09-19,2013-07-15 10:04:21
68,262000,tag2,9.0,true,1970-09-20,2013-07-15 10:04:22
69,263000,tag3,10.5,false,1970-09-21,2013-07-15 10:04:23
70,264000,tag4,12.0,true,1970-09-22,2013-07-15 10:04:24
71,265000,tag0,13.5,false,1970-09-23,2013-07-15 10:04:25
72,266000,,15.0,true,1970-09-24,2013-07-15 10:04:26
73,267000,tag2,16.5,false,1970-09-25,2013-07-15 10:04:27
74,268000,tag3,18.0,true,1970-09-26,2013-07-15 10:04:28
75,269000,tag4,19.5,false,1970-09-27,2013-07-15 10:04:29
76,270000,tag0,21.0,true,1970-09-28,2013-07-15 10:04:30
77,271000,tag1,22.5,false,1970-09-29,2013-07-15 10:04:31
78,272000,tag2,24.0,true,1970-09-30,2013-07-15 10:04:32
79,273000,,25.5,false,1970-10-01,2013-07-15 10:04:33
80,274000,tag4,27.0,true,1970-10-02,2013-07-15 10:04:34
81,275000,tag0,28.5,false,1970-10-03,2013-07-15 10:04:35
82,276000,tag1,30.0,true,1970-10-04,2013-07-15 10:04:36
83,277000,tag2,31.5,false,1970-10-05,2013-07-15 10:04:37
84,278000,tag3,33.0,true,1970-10-06,2013-07-15 10:04:38
85,279000,tag4,34.5,false,1970-10-07,2013-07-15 10:04:39
86,280000,,36.0,true,1970-10-08,2013-07-15 10:04:40
87,281000,tag1,37.5,false,1970-10-09,2013-07-15 10:04:41
88,282000,tag2,39.0,true,1970-10-10,2013-07-15 10:04:42
89,283000,tag3,40.5,false,1970-10-11,2013-07-15 10:04:43
90,284000,tag4,42.0,true,1970-10-12,2013-07-15 10:04:44
91,285000,tag0,43.5,false,1970-10-13,2013-07-15 10:04:45
92,286000,tag1,45.0,true,1970-10-14,2013-07-15 10:04:46
93,287000,,46.5,false,1970-10-15,2013-07-15 10:04:47
94,288000,tag3,48.0,true,1970-10-16,2013-07-15 10:04:48
95,289000,tag4,49.5,false,1970-10-17,2013-07-15 10:04:49
96,290000,tag0,51.0,true,1970-10-18,2013-07-15 10:04:50
0,291000,tag1,52.5,false,1970-10-19,2013-07-15 10:04:51
1,292000,tag2,54.0,true,1970-10-20,2013-07-15 10:04:52
2,293000,tag3,55.5,false,1970-10-21,2013-07-15 10:04:53
3,294000,,57.0,true,1970-10-22,2013-07-15 10:04:54
4,295000,tag0,58.5,false,1970-10-23,2013-07-15 10:04:55
5,296000,tag1,60.0,true,1970-10-24,2013-07-15 10:04:56
6,297000,tag2,61.5,false,1970-10-25,2013-07-15 10:04:57
7,298000,tag3,63.0,true,1970-10-26,2013-07-15 10:04:58
8,299000,tag4,64.5,false,1970-10-27,2013-07-15 10:04:59
9,300000,tag0,66.0,true,1970-10-28,2013-07-15 10:05:00
10,301000,,67.5,false,1970-10-29,2013-07-15 10:05:01
11,302000,tag2,69.0,true,1970-10-30,2013-07-15 10:05:02
12,303000,tag3,70.5,false,1970-10-31,2013-07-15 10:05:03
13,304000,tag4,72.0,true,1970-11-01,2013-07-15 10:05:04
14,305000,tag0,73.5,false,1970-11-02,2013-07-15 10:05:05
15,306000,tag1,75.0,true,1970-11-03,2013-07-15 10:05:06
16,307000,tag2,76.5,false,1970-11-04,2013-07-15 10:05:07
17,308000,,78.0,true,1970-11-05,2013-07-15 10:05:08
18,309000,tag4,79.5,false,1970-11-06,2013-07-15 10:05:09
19,310000,tag0,81.0,true,1970-11-07,2013-07-15 10:05:10
20,311000,tag1,82.5,false,1970-11-08,2013-07-15 10:05:11
21,312000,tag2,84.0,true,1970-11-09,2013-07-15 10:05:12
22,313000,tag3,85.5,false,1970-11-10,2013-07-15 10:05:13
23,314000,tag4,87.0,true,1970-11-11,2013-07-15 10:05:14
24,315000,,88.5,false,1970-11-12,2013-07-15 10:05:15
25,316000,tag1,90.0,true,1970-11-13,2013-07-15 10:05:16
26,317000,tag2,91.5,false,1970-11-14,2013-07-15 10:05:17
27,318000,tag3,93.0,true,1970-11-15,2013-07-15 10:05:18
28,319000,tag4,94.5,false,1970-11-16,2013-07-15 10:05:19
29,320000,tag0,0.0,true,1970-11-17,2013-07-15 10:05:20
30,321000,tag1,1.5,false,1970-11-18,2013-07-15 10:05:21
31,322000,,3.0,true,1970-11-19,2013-07-15 10:05:22
32,323000,tag3,4.5,false,1970-11-20,2013-07-15 10:05:23
33,324000,tag4,6.0,true,1970-11-21,2013-07-15 10:05:24
34,325000,tag0,7.5,false,1970-11-22,2013-07-15 10:05:25
35,326000,tag1,9.0,true,1970-11-23,2013-07-15 10:05:26
36,327000,tag2,10.5,false,1970-11-24,2013-07-15 10:05:27
37,328000,tag3,12.0,true,1970-11-25,2013-07-15 10:05:28
38,329000,,13.5,false,1970-11-26,2013-07-15 10:05:29
39,330000,tag0,15.0,true,1970-11-27,2013-07-15 10:05:30
40,331000,tag1,16.5,false,1970-11-28,2013-07-15 10:05:31
41,332000,tag2,18.0,true,1970-11-29,2013-07-15 10:05:32
42,333000,tag3,19.5,false,1970-11-30,2013-07-15 10:05:33
43,334000,tag4,21.0,true,1970-12-01,2013-07-15 10:05:34
44,335000,tag0,22.5,false,1970-12-02,2013-07-15 10:05:35
45,336000,,24.0,true,1970-12-03,2013-07-15 10:05:36
46,337000,tag2,25.5,false,1970-12-04,2013-07-15 10:05:37
47,338000,tag3,27.0,true,1970-12-05,2013-07-15 10:05:38
48,339000,tag4,28.5,false,1970-12-06,2013-07-15 10:05:39
49,340000,tag0,30.0,true,1970-12-07,2013-07-15 10:05:40
50,341000,tag1,31.5,false,1970-12-08,2013-07-15 10:05:41
51,342000,tag2,33.0,true,1970-12-09,2013-07-15 10:05:42
52,343000,,34.5,false,1970-12-10,2013-07-15 10:05:43
53,344000,tag4,36.0,true,1970-12-11,2013-07-15 10:05:44
54,345000,tag0,37.5,false,1970-12-12,2013-07-15 10:05:45
55,346000,tag1,39.0,true,1970-12-13,2013-07-15 10:05:46
56,347000,tag2,40.5,false,1970-12-14,2013-07-15 10:05:47
57,348000,tag3,42.0,true,1970-12-15,2013-07-15 10:05:48
58,349000,tag4,43.5,false,1970-12-16,2013-07-15 10:05:49
59,350000,,45.0,true,1970-12-17,2013-07-15 10:05:50
60,351000,tag1,46.5,false,1970-12-18,2013-07-15 10:05:51
61,352000,tag2,48.0,true,1970-12-19,2013-07-15 10:05:52
62,353000,tag3,49.5,false,1970-12-20,2013-07-15 10:05:53
63,354000,tag4,51.0,true,1970-12-21,2013-07-15 10:05:54
64,355000,tag0,52.5,false,1970-12-22,2013-07-15 10:05:55
65,356000,tag1,54.0,true,1970-12-23,2013-07-15 10:05:56
66,357000,,55.5,false,1970-12-24,2013-07-15 10:05:57
67,358000,tag3,57.0,true,1970-12-25,2013-07-15 10:05:58
68,359000,tag4,58.5,false,1970-12-26,2013-07-15 10:05:59
69,360000,tag0,60.0,true,1970-12-27,2013-07-15 10:06:00
70,361000,tag1,61.5,false,1970-12-28,2013-07-15 10:06:01
71,362000,tag2,63.0,true,1970-12-29,2013-07-15 10:06:02
72,363000,tag3,64.5,false,1970-12-30,2013-07-15 10:06:03
73,364000,,66.0,true,1970-12-31,2013-07-15 10:06:04
74,365000,tag0,67.5,false,1971-01-01,2013-07-15 10:06:05
75,366000,tag1,69.0,true,1971-01-02,2013-07-15 10:06:06
76,367000,tag2,70.5,false,1971-01-03,2013-07-15 10:06:07
77,368000,tag3,72.0,true,1971-01-04,2013-07-15 10:06:08
78,369000,tag4,73.5,false,1971-01-05,2013-07-15 10:06:09
79,370000,tag0,75.0,true,1971-01-06,2013-07-15 10:06:10
80,371000,,76.5,false,1971-01-07,2013-07-15 10:06:11
81,372000,tag2,78.0,true,1971-01-08,2013-07-15 10:06:12
82,373000,tag3,79.5,false,1971-01-09,2013-07-15 10:06:13
83,374000,tag4,81.0,true,1971-01-10,2013-07-15 10:06:14
84,375000,tag0,82.5,false,1971-01-11,2013-07-15 10:06:15
85,376000,tag1,84.0,true,1971-01-12,2013-07-15 10:06:16
86,377000,tag2,85.5,false,1971-01-13,2013-07-15 10:06:17
87,378000,,87.0,true,1971-01-14,2013-07-15 10:06:18
88,379000,tag4,88.5,false,1971-01-15,2013-07-15 10:06:19
89,380000,tag0,90.0,true,1971-01-16,2013-07-15 10:06:20
90,381000,tag1,91.5,false,1971-01-17,2013-07-15 10:06:21
91,382000,tag2,93.0,true,1971-01-18,2013-07-15 10:06:22
92,383000,tag3,94.5,false,1971-01-19,2013-07-15 10:06:23
93,384000,tag4,0.0,true,1971-01-20,2013-07-15 10:06:24
94,385000,,1.5,false,1971-01-21,2013-07-15 10:06:25
95,386000,tag1,3.0,true,1971-01-22,2013-07-15 10:06:26
96,387000,tag2,4.5,false,1971-01-23,2013-07-15 10:06:27
0,388000,tag3,6.0,true,1971-01-24,2013-07-15 10:06:28
1,389000,tag4,7.5,false,1971-01-25,2013-07-15 10:06:29
2,390000,tag0,9.0,true,1971-01-26,2013-07-15 10:06:30
3,391000,tag1,10.5,false,1971-01-27,2013-07-15 10:06:31
4,392000,,12.0,true,1971-01-28,2013-07-15 10:06:32
5,393000,tag3,13.5,false,1971-01-29,2013-07-15 10:06:33
6,394000,tag4,15.0,true,1971-01-30,2013-07-15 10:06:34
7,395000,tag0,16.5,false,1971-01-31,2013-07-15 10:06:35
8,396000,tag1,18.0,true,1971-02-01,2013-07-15 10:06:36
9,397000,tag2,19.5,false,1971-02-02,2013-07-15 10:06:37
10,398000,tag3,21.0,true,1971-02-03,2013-07-15 10:06:38
11,399000,,22.5,false,1971-02-04,2013-07-15 10:06:39
12,400000,tag0,24.0,true,1971-02-05,2013-07-15 10:06:40
13,401000,tag1,25.5,false,1971-02-06,2013-07-15 10:06:41
14,402000,tag2,27.0,true,1971-02-07,2013-07-15 10:06:42
15,403000,tag3,28.5,false,1971-02-08,2013-07-15 10:06:43
